location,date,old_cases
Afghanistan,2021-11-21,156896
Afghanistan,2021-11-22,156911
Afghanistan,2021-11-23,157015
Afghanistan,2021-11-24,157032
Afghanistan,2021-11-25,157144
Afghanistan,2021-11-26,157171
Afghanistan,2021-11-27,157190
Afghanistan,2021-11-28,157218
Afghanistan,2021-11-29,157260
Afghanistan,2021-11-30,157289
Afghanistan,2021-12-01,157359
Afghanistan,2021-12-02,157387
Afghanistan,2021-12-03,157412
Afghanistan,2021-12-04,157431
Afghanistan,2021-12-05,157454
Afghanistan,2021-12-06,157499
Afghanistan,2021-12-07,157508
Afghanistan,2021-12-08,157542
Afghanistan,2021-12-09,157585
Afghanistan,2021-12-10,157603
Afghanistan,2021-12-11,157611
Afghanistan,2021-12-12,157633
Afghanistan,2021-12-13,157648
Afghanistan,2021-12-14,157660
Afghanistan,2021-12-15,157665
Afghanistan,2021-12-16,157725
Afghanistan,2021-12-17,157734
Afghanistan,2021-12-18,157745
Afghanistan,2021-12-19,157787
Afghanistan,2021-12-20,157797
Afghanistan,2021-12-21,157816
Afghanistan,2021-12-22,157841
Afghanistan,2021-12-23,157878
Afghanistan,2021-12-24,157887
Afghanistan,2021-12-25,157895
Afghanistan,2021-12-26,157951
Afghanistan,2021-12-27,157967
Afghanistan,2021-12-28,157998
Afghanistan,2021-12-29,158037
Afghanistan,2021-12-30,158056
Afghanistan,2021-12-31,158084
Afghanistan,2022-01-01,158107
Afghanistan,2022-01-02,158189
Afghanistan,2022-01-03,158183
Afghanistan,2022-01-04,158205
Afghanistan,2022-01-05,158245
Afghanistan,2022-01-06,158275
Afghanistan,2022-01-07,158300
Afghanistan,2022-01-08,158309
Albania,2020-03-09,2
Albania,2020-03-10,10
Albania,2020-03-11,12
Albania,2020-03-12,23
Albania,2020-03-13,33
Albania,2020-03-14,38
Albania,2020-03-15,42
Albania,2020-03-16,51
Albania,2020-03-17,55
Albania,2020-03-18,59
Albania,2020-03-19,64
Albania,2020-03-20,70
Albania,2020-03-21,76
Albania,2020-03-22,89
Albania,2020-03-23,104
Albania,2020-03-24,123
Albania,2020-03-25,146
Albania,2020-03-26,174
Albania,2020-03-27,186
Albania,2020-03-28,197
Albania,2020-03-29,212
Albania,2020-03-30,223
Albania,2020-03-31,243
Albania,2020-04-01,259
Albania,2020-04-02,277
Albania,2020-04-03,304
Albania,2020-04-04,333
Albania,2020-04-05,361
Albania,2020-04-06,377
Albania,2020-04-07,383
Albania,2020-04-08,400
Albania,2020-04-09,409
Albania,2020-04-10,416
Albania,2020-04-11,433
Albania,2020-04-12,446
Albania,2020-04-13,467
Albania,2020-04-14,475
Albania,2020-04-15,494
Albania,2020-04-16,518
Albania,2020-04-17,539
Albania,2020-04-18,548
Albania,2020-04-19,562
Albania,2020-04-20,584
Albania,2020-04-21,609
Albania,2020-04-22,634
Albania,2020-04-23,663
Albania,2020-04-24,678
Albania,2020-04-25,712
Albania,2020-04-26,726
Albania,2020-04-27,736
Albania,2020-04-28,750
Albania,2020-04-29,766
Albania,2020-04-30,773
Albania,2020-05-01,782
Albania,2020-05-02,789
Albania,2020-05-03,795
Albania,2020-05-04,803
Albania,2020-05-05,820
Albania,2020-05-06,832
Albania,2020-05-07,842
Albania,2020-05-08,850
Albania,2020-05-09,856
Albania,2020-05-10,868
Albania,2020-05-11,872
Albania,2020-05-12,876
Albania,2020-05-13,880
Albania,2020-05-14,898
Albania,2020-05-15,916
Albania,2020-05-16,933
Albania,2020-05-17,946
Albania,2020-05-18,948
Albania,2020-05-19,949
Albania,2020-05-20,964
Albania,2020-05-21,969
Albania,2020-05-22,981
Albania,2020-05-23,989
Albania,2020-05-24,998
Albania,2020-05-25,1004
Albania,2020-05-26,1029
Albania,2020-05-27,1050
Albania,2020-05-28,1076
Albania,2020-05-29,1099
Albania,2020-05-30,1122
Albania,2020-05-31,1137
Albania,2020-06-01,1143
Albania,2020-06-02,1164
Albania,2020-06-03,1184
Albania,2020-06-04,1197
Albania,2020-06-05,1212
Albania,2020-06-06,1232
Albania,2020-06-07,1246
Albania,2020-06-08,1263
Albania,2020-06-09,1299
Albania,2020-06-10,1341
Albania,2020-06-11,1385
Albania,2020-06-12,1416
Albania,2020-06-13,1464
Albania,2020-06-14,1521
Albania,2020-06-15,1590
Albania,2020-06-16,1672
Albania,2020-06-17,1722
Albania,2020-06-18,1788
Albania,2020-06-19,1838
Albania,2020-06-20,1891
Albania,2020-06-21,1962
Albania,2020-06-22,1995
Albania,2020-06-23,2047
Albania,2020-06-24,2114
Albania,2020-06-25,2192
Albania,2020-06-26,2269
Albania,2020-06-27,2330
Albania,2020-06-28,2402
Albania,2020-06-29,2466
Albania,2020-06-30,2535
Albania,2020-07-01,2580
Albania,2020-07-02,2662
Albania,2020-07-03,2752
Albania,2020-07-04,2819
Albania,2020-07-05,2893
Albania,2020-07-06,2964
Albania,2020-07-07,3038
Albania,2020-07-08,3106
Albania,2020-07-09,3188
Albania,2020-07-10,3278
Albania,2020-07-11,3371
Albania,2020-07-12,3454
Albania,2020-07-13,3571
Albania,2020-07-14,3667
Albania,2020-07-15,3752
Albania,2020-07-16,3851
Albania,2020-07-17,3906
Albania,2020-07-18,4008
Albania,2020-07-19,4090
Albania,2020-07-20,4171
Albania,2020-07-21,4290
Albania,2020-07-22,4358
Albania,2020-07-23,4466
Albania,2020-07-24,4570
Albania,2020-07-25,4637
